,ScienticName,nRecords
0,Accipiter cooperii,1488275
1,Accipiter gentilis,51104
2,Accipiter striatus,783312
3,Acridotheres tristis,57498
4,Acris crepitans,12268
5,Acris gryllus,6706
6,Actinemys marmorata,2054
7,Actitis macularius,1030219
8,Aechmophorus clarkii,133429
9,Aechmophorus occidentalis,436758
10,Aegolius acadicus,44303
11,Aegolius funereus,3305
12,Aeronautes saxatalis,177041
13,Agelaius phoeniceus,6285010
14,Agelaius tricolor,46047
15,Agkistrodon contortrix,6044
16,Agkistrodon piscivorus,6201
17,Aimophila aestivalis,506
18,Aimophila botterii,38
19,Aimophila carpalis,110
20,Aimophila cassinii,538
21,Aimophila quinquestriata,1
22,Aimophila ruficeps,108839
23,Aix sponsa,1577261
24,Alca torda,42619
25,Alces americanus,308
26,Alectoris chukar,24095
27,Alle alle,10848
28,Alligator mississippiensis,15203
29,Amazilia violiceps,13038
30,Amazilia yucatanensis,55850
31,Amazona viridigenalis,31050
32,Ambystoma annulatum,247
33,Ambystoma barbouri,142
34,Ambystoma bishopi,20
35,Ambystoma californiense,863
36,Ambystoma cingulatum,64
37,Ambystoma gracile,1754
38,Ambystoma jeffersonianum,1019
39,Ambystoma laterale,736
40,Ambystoma mabeei,109
41,Ambystoma macrodactylum,3308
42,Ambystoma maculatum,5830
43,Ambystoma mavortium,2519
44,Ambystoma opacum,4294
45,Ambystoma talpoideum,1670
46,Ambystoma texanum,1977
47,Ambystoma tigrinum,5855
48,Ammodramus bairdii,320
49,Ammodramus caudacutus,35999
50,Ammodramus henslowii,778
51,Ammodramus leconteii,27284
52,Ammodramus maritimus,60718
53,Ammodramus nelsoni,313
54,Ammodramus savannarum,190195
55,Ammodramus savannarum floridanus,34
56,Ammospermophilus harrisii,1163
57,Ammospermophilus interpres,349
58,Ammospermophilus leucurus,4175
59,Ammospermophilus nelsoni,391
60,Ammotragus lervia,126
61,Amphispiza belli,2395
62,Amphispiza belli belli,412
63,Amphispiza belli canescens,226
64,Amphispiza belli clementeae,59
65,Amphispiza belli nevadensis,317
66,Amphispiza bilineata,167450
67,Amphiuma means,1194
68,Amphiuma pholeter,268
69,Amphiuma tridactylum,204
70,Anas acuta,768432
71,Anas americana,1117276
72,Anas clypeata,1386192
73,Anas crecca,1182368
74,Anas cyanoptera,395884
75,Anas discors,944508
76,Anas fulvigula,255035
77,Anas penelope,71817
78,Anas platyrhynchos,5847987
79,Anas rubripes,811674
80,Anas strepera,1369148
81,Anaxyrus americanus,16535
82,Anaxyrus baxteri,44
83,Anaxyrus boreas,13539
84,Anaxyrus californicus,1068
85,Anaxyrus canorus,1347
86,Anaxyrus cognatus,4177
87,Anaxyrus debilis,1677
88,Anaxyrus exsul,523
89,Anaxyrus fowleri,7241
90,Anaxyrus hemiophrys,270
91,Anaxyrus houstonensis,410
92,Anaxyrus microscaphus,1632
93,Anaxyrus nelsoni,313
94,Anaxyrus punctatus,4632
95,Anaxyrus quercicus,1757
96,Anaxyrus retiformis,203
97,Anaxyrus speciosus,2215
98,Anaxyrus terrestris,7523
99,Anaxyrus woodhousii,10362
100,Aneides aeneus,626
101,Aneides ferreus,1901
102,Aneides flavipunctatus,4986
103,Aneides hardii,574
104,Aneides lugubris,5902
105,Aneides vagrans,803
106,Anhinga anhinga,465341
107,Anniella pulchra,1638
108,Anolis carolinensis,19727
109,Anous stolidus,4973
110,Anser albifrons,233025
111,Anser albifrons elgasi,75
112,Anthus rubescens,440867
113,Anthus spragueii,14236
114,Antilocapra americana,2824
115,Antilocapra americana sonoriensis,7
116,Antrozous pallidus,4940
117,Apalone ferox,2830
118,Apalone mutica,520
119,Apalone mutica calvata,14
120,Apalone mutica mutica,38
121,Apalone spinifera,3698
122,Aphelocoma californica,1092022
123,Aphelocoma coerulescens,21893
124,Aphelocoma insularis,3654
125,Aphelocoma ultramarina,532
126,Aphriza virgata,461
127,Aplodontia rufa,1174
128,Aplodontia rufa californica,142
129,Aplodontia rufa humboldtiana,49
130,Aplodontia rufa nigra,10
131,Aplodontia rufa olympica,1174
132,Aplodontia rufa pacifica,201
133,Aplodontia rufa phaea,101
134,Aplodontia rufa rufa,277
135,Aquila chrysaetos,188426
136,Aramus guarauna,107194
137,Aratinga holochlora,33
138,Aratinga mitrata,40
139,Arborimus albipes,199
140,Arborimus longicaudus,232
141,Arborimus pomo,428
142,Archilochus alexandri,363673
143,Archilochus colubris,1332193
144,Arctocephalus townsendi,171
145,Ardea alba,2721514
146,Ardea herodias,4560284
147,Arenaria interpres,392048
148,Arenaria melanocephala,113366
149,Arizona elegans,3138
150,Arremonops rufivirgatus,55075
151,Artibeus jamaicensis,3
152,Ascaphus montanus,328
153,Ascaphus truei,3166
154,Asio flammeus,75911
155,Asio otus,30434
156,Aspidoscelis arizonae,122
157,Aspidoscelis burti,153
158,Aspidoscelis dixoni,16
159,Aspidoscelis exsanguis,1877
160,Aspidoscelis flagellicauda,169
161,Aspidoscelis gularis,3266
162,Aspidoscelis gypsi,0
163,Aspidoscelis hyperythra,1432
164,Aspidoscelis inornata,1675
165,Aspidoscelis laredoensis,32
166,Aspidoscelis neomexicana,1231
167,Aspidoscelis neotesselata,179
168,Aspidoscelis pai,5
169,Aspidoscelis scalaris,122
170,Aspidoscelis sexlineata,7012
171,Aspidoscelis sonorae,1971
172,Aspidoscelis tesselata,1845
173,Aspidoscelis tigris,19493
174,Aspidoscelis uniparens,1970
175,Aspidoscelis velox,966
176,Aspidoscelis xanthonota,11
177,Athene cunicularia,93283
178,Athene cunicularia floridana,273
179,Athene cunicularia hypugaea,1160
180,Auriparus flaviceps,343342
181,Axis axis,166
182,Aythya affinis,844001
183,Aythya americana,555774
184,Aythya collaris,1107799
185,Aythya marila,355959
186,Aythya valisineria,375471
187,Baeolophus atricristatus,222672
188,Baeolophus bicolor,4635646
189,Baeolophus inornatus,386807
190,Baeolophus ridgwayi,53071
191,Baeolophus wollweberi,87648
192,Baiomys taylori,1454
193,Bartramia longicauda,70550
194,Bassariscus astutus,947
195,Batrachoseps attenuatus,28294
196,Batrachoseps campi,211
197,Batrachoseps diabolicus,373
198,Batrachoseps gabrieli,135
199,Batrachoseps gavilanensis,2062
200,Batrachoseps gregarius,1523
201,Batrachoseps incognitus,211
202,Batrachoseps kawia,187
203,Batrachoseps luciae,1984
204,Batrachoseps major,4258
205,Batrachoseps minor,259
206,Batrachoseps nigriventris,5951
207,Batrachoseps pacificus,2382
208,Batrachoseps regius,166
209,Batrachoseps relictus,740
210,Batrachoseps robustus,206
211,Batrachoseps simatus,159
212,Batrachoseps stebbinsi,127
213,Batrachoseps wrightorum,1
214,Bison bison,7593
215,Blarina brevicauda,13695
216,Blarina carolinensis,3565
217,Blarina hylophaga,1917
218,Bogertophis rosaliae,1
219,Bogertophis subocularis,618
220,Bombycilla cedrorum,2176084
221,Bombycilla garrulus,38970
222,Bonasa umbellus,129043
223,Botaurus lentiginosus,153573
224,Brachylagus idahoensis,299
225,Brachylagus idahoensis pop. 2,299
226,Brachyramphus marmoratus,48111
227,Branta bernicla,266593
228,Branta canadensis,5950237
229,Branta hutchinsii,264755
230,Bubo scandiacus,92056
231,Bubo virginianus,543477
232,Bubulcus ibis,522787
233,Bucephala albeola,1601612
234,Bucephala clangula,806691
235,Bucephala islandica,97381
236,Buteo albicaudatus,39540
237,Buteo albonotatus,30118
238,Buteo brachyurus,16421
239,Buteo jamaicensis,4365204
240,Buteo lagopus,213876
241,Buteo lineatus,1619683
242,Buteo nitidus,90
243,Buteo platypterus,333495
244,Buteo regalis,87909
245,Buteo swainsoni,267068
246,Buteogallus anthracinus,14172
247,Butorides virescens,1033952
248,Cairina moschata,57550
249,Calamospiza melanocorys,65060
250,Calcarius lapponicus,100305
251,Calcarius mccownii,408
252,Calcarius ornatus,19974
253,Calcarius pictus,6852
254,Calidris alba,537210
255,Calidris alpina,476135
256,Calidris canutus,95226
257,Calidris himantopus,134851
258,Calidris maritima,47026
259,Calidris mauri,364308
260,Calidris minutilla,987913
261,Calidris ptilocnemis,17230
262,Callipepla californica,488709
263,Callipepla gambelii,236747
264,Callipepla squamata,49353
265,Callisaurus draconoides,9742
266,Callorhinus ursinus,797
267,Calothorax lucifer,7941
268,Calypte anna,1427668
269,Calypte costae,96469
270,Camptostoma imberbe,22621
271,Campylorhynchus brunneicapillus,191628
272,Canis latrans,16911
273,Canis lupus,5628
274,Canis lupus baileyi,1378
275,Canis lupus rufus,172
276,Caprimulgus carolinensis,59867
277,Caprimulgus ridgwayi,1383
278,Caprimulgus vociferus,544
279,Caracara cheriway,184751
280,Cardellina rubrifrons,17693
281,Cardinalis cardinalis,8458818
282,Cardinalis sinuatus,120617
283,Carduelis flammea,16035
284,Carduelis hornemanni,714
285,Carduelis lawrencei,935
286,Carduelis pinus,47484
287,Carduelis psaltria,25046
288,Carduelis tristis,274411
289,Caretta caretta,2806
290,Carphophis amoenus,2483
291,Carphophis vermis,631
292,Carpodacus cassinii,7577
293,Carpodacus mexicanus,270192
294,Carpodacus purpureus,65475
295,Castor canadensis,7744
296,Cathartes aura,5089734
297,Catharus bicknelli,8253
298,Catharus fuscescens,367866
299,Catharus guttatus,1046420
300,Catharus ustulatus,611022
301,Catherpes mexicanus,167997
302,Cemophora coccinea,1401
303,Centrocercus minimus,37
304,Centrocercus urophasianus,9630
305,Cepphus columba,129716
306,Cepphus grylle,47272
307,Cerorhinca monocerata,81865
308,Certhia americana,854309
309,Cervus elaphus,5522
310,Cervus elaphus nannodes,107
311,Cervus elaphus roosevelti,5522
312,Cervus nippon,89
313,Chaetodipus baileyi,3432
314,Chaetodipus californicus,2323
315,Chaetodipus eremicus,1234
316,Chaetodipus fallax,1800
317,Chaetodipus formosus,5079
318,Chaetodipus hispidus,4148
319,Chaetodipus intermedius,4613
320,Chaetodipus nelsoni,585
321,Chaetodipus penicillatus,6034
322,Chaetodipus rudinoris,6
323,Chaetodipus spinatus,827
324,Chaetura pelagica,1349415
325,Chaetura vauxi,107327
326,Chamaea fasciata,294825
327,Charadrius alexandrinus,447
328,Charadrius alexandrinus nivosus,1222
329,Charadrius melodus,120335
330,Charadrius montanus,11332
331,Charadrius semipalmatus,557384
332,Charadrius vociferus,3306183
333,Charadrius wilsonia,58003
334,Charina bottae,1276
335,Charina umbratica,8
336,Chelonia mydas,1815
337,Chelydra serpentina,9549
338,Chen caerulescens,383781
339,Chen rossii,93889
340,Chilomeniscus stramineus,87
341,Chionactis occipitalis,1777
342,Chionactis palarostris,5
343,Chlidonias niger,151832
344,Chloroceryle americana,32801
345,Choeronycteris mexicana,250
346,Chondestes grammacus,397296
347,Chondrohierax uncinatus,1849
348,Chordeiles acutipennis,41807
349,Chordeiles gundlachii,1442
350,Chordeiles minor,337411
351,Chroicocephalus philadelphia,471711
352,Chrysemys dorsalis,113
353,Chrysemys picta,11238
354,Cinclus mexicanus,72727
355,Circus cyaneus,55744
356,Cistothorus palustris,716066
357,Cistothorus platensis,114958
358,Clangula hyemalis,259150
359,Clemmys guttata,964
360,Clonophis kirtlandii,96
361,Cnemidophorus lemniscatus,0
362,Coccothraustes vespertinus,163135
363,Coccyzus americanus,488756
364,Coccyzus erythropthalmus,78934
365,Coccyzus minor,3072
366,Colaptes auratus,4465054
367,Colaptes chrysoides,27889
368,Coleonyx brevis,506
369,Coleonyx reticulatus,40
370,Coleonyx switaki,16
371,Coleonyx variegatus,3505
372,Colinus virginianus,226422
373,Coluber bilineatus,337
374,Coluber constrictor,11463
375,Coluber flagellum,6624
376,Coluber fuliginosus,29
377,Coluber lateralis,1630
378,Coluber schotti,202
379,Coluber taeniatus,1300
380,Columba livia,2854067
381,Columbina inca,211287
382,Columbina passerina,231855
383,Condylura cristata,1064
384,Conepatus leuconotus,556
385,Coniophanes imperialis,38
386,Contia tenuis,991
387,Contopus cooperi,167139
388,Contopus pertinax,12903
389,Contopus sordidulus,435980
390,Contopus virens,1047341
391,Cophosaurus texanus,4163
392,Coragyps atratus,1404619
393,Corvus brachyrhynchos,8310328
394,Corvus caurinus,56253
395,Corvus corax,2249717
396,Corvus cryptoleucus,58197
397,Corvus imparatus,1233
398,Corvus ossifragus,1131386
399,Corynorhinus rafinesquii,366
400,Corynorhinus townsendii,4294
401,Corynorhinus townsendii australis,7
402,Corynorhinus townsendii ingens,8
403,Corynorhinus townsendii pallescens,1998
404,Corynorhinus townsendii townsendii,1024
405,Corynorhinus townsendii virginianus,42
406,Coturnicops noveboracensis,4770
407,Cratogeomys castanops,1909
408,Craugastor augusti,112
409,Crocodylus acutus,444
410,Crotalus adamanteus,1504
411,Crotalus atrox,7400
412,Crotalus cerastes,3026
413,Crotalus cerberus,178
414,Crotalus horridus,2578
415,Crotalus lepidus,722
416,Crotalus mitchellii,628
417,Crotalus molossus,860
418,Crotalus oreganus,7832
419,Crotalus pricei,95
420,Crotalus ruber,1196
421,Crotalus scutulatus,2454
422,Crotalus tigris,219
423,Crotalus viridis,6928
424,Crotalus willardi,96
425,Crotaphytus bicinctores,1502
426,Crotaphytus collaris,6263
427,Crotaphytus nebrius,42
428,Crotaphytus reticulatus,82
429,Crotaphytus vestigium,92
430,Crotophaga sulcirostris,15176
431,Cryptobranchus alleganiensis,244
432,Cryptobranchus alleganiensis alleganiensis,47
433,Cryptobranchus alleganiensis bishopi,7
434,Cryptotis parva,4765
435,Cyanocitta cristata,7051475
436,Cyanocitta stelleri,898883
437,Cyanocorax morio,22
438,Cyanocorax yncas,96936
439,Cygnus buccinator,199012
440,Cygnus columbianus,232783
441,Cygnus olor,576277
442,Cynanthus latirostris,92925
443,Cynomys gunnisoni,1247
444,Cynomys leucurus,933
445,Cynomys ludovicianus,3314
446,Cynomys parvidens,150
447,Cypseloides niger,9852
448,Cyrtonyx montezumae,12370
449,Dama dama,45
450,Dasypus novemcinctus,3741
451,Deirochelys reticularia,692
452,Dendragapus fuliginosus,18431
453,Dendragapus obscurus,13006
454,Dendrocygna autumnalis,256092
455,Dendrocygna bicolor,37504
456,Dendroica caerulescens,551
457,Dendroica castanea,1205
458,Dendroica cerulea,295
459,Dendroica chrysoparia,249
460,Dendroica coronata,67081
461,Dendroica discolor,652
462,Dendroica dominica,1555
463,Dendroica fusca,1055
464,Dendroica graciae,91
465,Dendroica kirtlandii,97
466,Dendroica magnolia,2205
467,Dendroica nigrescens,4450
468,Dendroica occidentalis,24390
469,Dendroica palmarum,5001
470,Dendroica pensylvanica,1393
471,Dendroica petechia,13380
472,Dendroica pinus,22051
473,Dendroica striata,2300
474,Dendroica tigrina,1025
475,Dendroica townsendi,4120
476,Dendroica virens,1102
477,Dermochelys coriacea,586
478,Desmognathus abditus,96
479,Desmognathus aeneus,702
480,Desmognathus apalachicolae,2015
481,Desmognathus auriculatus,3055
482,Desmognathus brimleyorum,1909
483,Desmognathus carolinensis,4726
484,Desmognathus conanti,4441
485,Desmognathus folkertsi,60
486,Desmognathus fuscus,17514
487,Desmognathus imitator,2642
488,Desmognathus marmoratus,2685
489,Desmognathus monticola,7196
490,Desmognathus ochrophaeus,11142
491,Desmognathus ocoee,9028
492,Desmognathus orestes,3349
493,Desmognathus quadramaculatus,3624
494,Desmognathus santeetlah,810
495,Desmognathus welteri,440
496,Desmognathus wrighti,1109
497,Diadophis punctatus,11703
498,Dicamptodon aterrimus,38
499,Dicamptodon copei,174
500,Dicamptodon ensatus,1460
501,Dicamptodon tenebrosus,2319
502,Didelphis virginiana,8854
503,Dipodomys agilis,3466
504,Dipodomys californicus,1050
505,Dipodomys compactus,425
506,Dipodomys deserti,2321
507,Dipodomys elator,305
508,Dipodomys heermanni,2503
509,Dipodomys heermanni morroensis,249
510,Dipodomys ingens,226
511,Dipodomys merriami,24245
512,Dipodomys microps,3313
513,Dipodomys nitratoides,928
514,Dipodomys nitratoides exilis,18
515,Dipodomys nitratoides nitratoides,297
516,Dipodomys ordii,21153
517,Dipodomys panamintinus,3650
518,Dipodomys simulans,622
519,Dipodomys spectabilis,1697
520,Dipodomys stephensi,455
521,Dipodomys venustus,523
522,Dipsosaurus dorsalis,4020
523,Dolichonyx oryzivorus,275350
524,Drymarchon couperi,53
525,Drymarchon melanurus,284
526,Drymobius margaritiferus,23
527,Dryocopus pileatus,1588519
528,Dumetella carolinensis,2773037
529,Egretta caerulea,696423
530,Egretta rufescens,130992
531,Egretta thula,1506689
532,Egretta tricolor,537809
533,Elanoides forficatus,80460
534,Elanus leucurus,209237
535,Eleutherodactylus cystignathoides,572
536,Eleutherodactylus guttilatus,11
537,Eleutherodactylus marnockii,472
538,Eleutherodactylus planirostris,2523
539,Elgaria coerulea,4895
540,Elgaria kingii,426
541,Elgaria multicarinata,9872
542,Elgaria panamintina,86
543,Empidonax alnorum,103279
544,Empidonax difficilis,250776
545,Empidonax flaviventris,55008
546,Empidonax fulvifrons,6836
547,Empidonax hammondii,80708
548,Empidonax minimus,288970
549,Empidonax oberholseri,101056
550,Empidonax occidentalis,57804
551,Empidonax traillii,323392
552,Empidonax virescens,265344
553,Empidonax wrightii,62113
554,Emydoidea blandingii,509
555,Enhydra lutris,8387
556,Ensatina eschscholtzii,16700
557,Eptesicus fuscus,10792
558,Equus caballus,850
559,Eremophila alpestris,711127
560,Erethizon dorsata,3653
561,Eretmochelys imbricata,109
562,Euderma maculatum,93
563,Eudocimus albus,739654
564,Eugenes fulgens,36101
565,Eumetopias jubatus,2316
566,Eumops floridanus,38
567,Eumops glaucinus,11
568,Eumops perotis,496
569,Eumops underwoodi,40
570,Euphagus carolinus,198637
571,Euphagus cyanocephalus,822762
572,Eurycea aquatica,518
573,Eurycea bislineata,5631
574,Eurycea chamberlaini,317
575,Eurycea chisholmensis,10
576,Eurycea cirrigera,5855
577,Eurycea guttolineata,2246
578,Eurycea junaluska,31
579,Eurycea latitans,39
